Date,PageName,"Post_ID",type,"Number_of_comments","Number_of_shares","Likes.total_likes","Likes.Angry"
"Mar 2, 2020 @ 09:45:39.000","Miri Regev",2808953265868137,post,193,87,"1,588",3
"Mar 2, 2020 @ 09:40:54.000","Yair Lapid",2956963537695311,post,122,156,"1,401",3
"Mar 2, 2020 @ 09:40:04.000","Stav Shaffir",2629309853955584,post,89,47,"1,360",0
"Mar 2, 2020 @ 09:36:49.000","Tamar Zandberg",1852979321498893,post,623,38,"1,694",14
"Mar 2, 2020 @ 09:33:32.000","Benjamin Netanyahu",10157126457302076,post,"5,200","2,200","51,632",42
"Mar 2, 2020 @ 09:28:02.000","Benny Gantz",225055765335377,"live post","1,100",303,0,0
"Mar 2, 2020 @ 09:26:37.000","Itamar Ben-Gvir",1199609256908079,post,28,29,197,1
"Mar 2, 2020 @ 09:14:27.000","Benjamin Netanyahu",618269049016827,"live post","3,800","1,300",0,0
"Mar 2, 2020 @ 09:11:08.000","Ayelet Shaked",508387996772350,"live post",85,27,0,0
"Mar 2, 2020 @ 09:06:44.000","Benny Gantz",498379134172817,post,"1,000",827,"16,494",3
"Mar 2, 2020 @ 09:05:05.000","Naftali Bennett",2916411571713825,post,323,125,"3,262",6
"Mar 2, 2020 @ 08:59:16.000","Itamar Ben-Gvir",1421296601595079,"live post",448,152,0,0
"Mar 2, 2020 @ 08:59:15.000","Yair Lapid",2956907811034217,post,517,274,"8,687",0
"Mar 2, 2020 @ 08:58:10.000","Orly Levy-Abkasis",3403780162970610,post,155,28,626,3
"Mar 2, 2020 @ 08:55:23.000","Itamar Ben-Gvir",1199593400242998,post,77,70,849,2
"Mar 2, 2020 @ 08:53:14.000","Tamar Zandberg",206458264056311,"live post",131,19,0,0
"Mar 2, 2020 @ 08:43:21.000","Miri Regev",2808872732542857,post,236,153,"1,494",2
"Mar 2, 2020 @ 08:36:45.000","Naftali Bennett",505501793728312,"live post","1,000",202,0,0
"Mar 2, 2020 @ 08:26:12.000","Benny Gantz",498350527509011,post,812,341,"7,222",6
"Mar 2, 2020 @ 08:15:43.000","Yair Lapid",2956845911040407,post,279,71,"2,386",1
"Mar 2, 2020 @ 08:10:23.000","Miri Regev",2808830282547102,post,729,288,"4,554",5
"Mar 2, 2020 @ 08:06:00.000","Ayelet Shaked",128975695214480,"live post",84,41,0,0
"Mar 2, 2020 @ 08:04:47.000","Naftali Bennett",2916330485055267,post,343,117,"6,343",0
"Mar 2, 2020 @ 08:02:58.000","Itamar Ben-Gvir",1199565253579146,post,93,68,635,0
"Mar 2, 2020 @ 08:00:11.000","Orly Levy-Abkasis",3402888776393082,post,55,11,208,1
"Mar 2, 2020 @ 07:59:03.000","Naftali Bennett",2916323241722658,post,57,48,959,0
"Mar 2, 2020 @ 07:58:00.000","Yair Lapid",243830433314375,"live post",280,156,0,0
"Mar 2, 2020 @ 07:51:32.000","Yair Lapid",244354353254318,"live post",585,153,0,0
"Mar 2, 2020 @ 07:40:49.000","Benny Gantz",498312700846127,post,"2,500","1,400","26,362",12
"Mar 2, 2020 @ 07:38:44.000","Itamar Ben-Gvir",1199554933580178,post,101,38,482,0
"Mar 2, 2020 @ 07:30:57.000","Ayelet Shaked",629106667886606,"live post",95,25,0,0
"Mar 2, 2020 @ 07:30:18.000","Avigdor Liberman",3115769468435980,post,"2,300",618,"2,040",71
"Mar 2, 2020 @ 07:20:37.000","Benny Gantz",502245270475331,"live post","2,200",647,0,0
"Mar 2, 2020 @ 07:20:17.000","Moshe Bogie Ya'alon",3123927017640455,post,684,158,"1,324",17
"Mar 2, 2020 @ 07:11:48.000","Benny Gantz",560471511225951,"live post","1,500",492,0,0
"Mar 2, 2020 @ 07:10:17.000","Bezazel Smotrich",1561676710653367,post,78,21,"1,047",1
"Mar 2, 2020 @ 06:59:39.000","Benjamin Netanyahu",10157126213117076,post,"1,800","1,000","19,074",15
"Mar 2, 2020 @ 06:52:39.000","Merav Michaeli",3019499971407022,post,60,30,562,0
"Mar 2, 2020 @ 06:41:26.000","Avigdor Liberman",3116875184992075,post,364,65,893,16
"Mar 2, 2020 @ 06:37:26.000","Naftali Bennett",2916221065066209,post,158,74,"2,003",1
"Mar 2, 2020 @ 06:31:00.000","Ayelet Shaked",2697367797048296,post,398,124,"4,474",33
"Mar 2, 2020 @ 06:17:06.000","Yair Lapid",2956695231055475,post,444,621,"8,003",5
"Mar 2, 2020 @ 06:16:46.000","Itamar Ben-Gvir",1199521643583507,post,72,274,548,0
"Mar 2, 2020 @ 06:11:13.000","Ayelet Shaked",2655052154782055,"live post",138,54,0,0
"Mar 2, 2020 @ 06:00:25.000","Orly Levy-Abkasis",3402884656393494,post,174,38,425,1
"Mar 2, 2020 @ 05:53:06.000","Ayelet Shaked",2697319357053140,post,70,51,"1,182",0
"Mar 2, 2020 @ 05:43:59.000","Avigdor Liberman",3116804108332516,post,134,21,216,1
"Mar 2, 2020 @ 05:31:17.000","Benny Gantz",498230770854320,post,"1,800","2,600","18,624",14
"Mar 2, 2020 @ 05:26:54.000","Avigdor Liberman",671723280300982,"live post",406,37,0,0
"Mar 2, 2020 @ 05:01:43.000","Moshe Bogie Ya'alon",3123743837658773,post,317,246,655,15
"Mar 2, 2020 @ 05:00:45.000","Naftali Bennett",2915547488466900,post,578,324,"5,105",6
"Mar 2, 2020 @ 05:00:40.000","Ayelet Shaked",2696851927099883,post,293,223,"2,915",2
"Mar 2, 2020 @ 05:00:36.000","Amir Peretz",2880377532025559,post,"1,600",364,"5,951",47
"Mar 2, 2020 @ 05:00:30.000","Bezazel Smotrich",1561501114004260,post,129,60,999,2
"Mar 2, 2020 @ 05:00:26.000","Rafi Peretz",624561264995331,post,72,22,382,0
"Mar 2, 2020 @ 05:00:16.000","Tamar Zandberg",1852185754911583,post,67,21,314,2
"Mar 2, 2020 @ 04:56:50.000","Yair Lapid",2956587867732878,post,201,126,"1,470",0
"Mar 1, 2020 @ 23:21:17.000","Itamar Ben-Gvir",1199333196935685,post,200,44,669,2
"Mar 1, 2020 @ 22:04:40.000","Bezazel Smotrich",1561390194015352,post,25,2,378,0
"Mar 1, 2020 @ 22:03:02.000","Bezazel Smotrich",1561389350682103,post,108,15,824,0
"Mar 1, 2020 @ 22:02:04.000","Ayelet Shaked",2696699687115107,post,138,82,"1,448",0
"Mar 1, 2020 @ 22:00:01.000","Naftali Bennett",2915549571800025,post,423,60,"3,247",0
"Mar 1, 2020 @ 21:30:00.000","Itamar Ben-Gvir",1199268800275458,post,28,127,321,0
"Mar 1, 2020 @ 21:13:53.000","Yair Lapid",2955951414463190,post,180,111,"1,050",3
"Mar 1, 2020 @ 21:12:42.000","Benny Gantz",498015024209228,post,"1,000",613,"5,862",7
"Mar 1, 2020 @ 20:47:29.000","Itamar Ben-Gvir",1199261503609521,post,11,9,73,0
"Mar 1, 2020 @ 20:40:01.000","Benny Gantz",497992304211500,post,880,"1,900","3,618",101
"Mar 1, 2020 @ 20:38:25.000","Naftali Bennett",2915431405145175,post,"1,000",344,"6,246",21
"Mar 1, 2020 @ 20:36:07.000","Stav Shaffir",2628852304001339,post,74,65,753,0
"Mar 1, 2020 @ 20:33:50.000","Itamar Ben-Gvir",1199254560276882,post,87,156,636,5
"Mar 1, 2020 @ 20:31:44.000","Yair Lapid",2955882574470074,post,86,83,"1,154",0
"Mar 1, 2020 @ 20:26:24.000","Benjamin Netanyahu",569896150282788,"live post","20,000","3,200",0,0
"Mar 1, 2020 @ 20:11:53.000","Benjamin Netanyahu",10157124813112076,post,"4,800","2,700","49,832",30
"Mar 1, 2020 @ 19:55:49.000","Yair Lapid",2955824217809243,post,105,134,890,1
"Mar 1, 2020 @ 19:33:44.000","Benjamin Netanyahu",10157124683262076,post,715,506,"2,576",7
"Mar 1, 2020 @ 19:32:45.000","Benjamin Netanyahu",10157124680822076,post,"2,500","1,500","15,373",21
"Mar 1, 2020 @ 19:22:40.000","Yair Lapid",2955772601147738,post,527,508,"4,597",21
"Mar 1, 2020 @ 19:08:05.000","Benjamin Netanyahu",10157124609537076,post,570,390,"3,180",308
"Mar 1, 2020 @ 18:46:55.000","Benny Gantz",497911844219546,post,"1,500","1,500","6,892",174
"Mar 1, 2020 @ 18:19:47.000","Ehud Barak",3070539846311604,post,"1,000","1,300","3,669",81
"Mar 1, 2020 @ 18:12:20.000","Yair Lapid",2955654054492926,post,264,273,"2,612",3
"Mar 1, 2020 @ 17:49:34.000","Rafi Peretz",624373185014139,post,96,9,123,1
"Mar 1, 2020 @ 17:48:42.000","Bezazel Smotrich",1561235790697459,post,69,24,302,0
"Mar 1, 2020 @ 17:45:35.000","Naftali Bennett",2915158675172448,post,123,69,857,0
"Mar 1, 2020 @ 17:40:05.000","Itamar Ben-Gvir",2506902716238895,"live post","1,100",300,0,0
"Mar 1, 2020 @ 17:38:54.000","Amir Peretz",2885888224807823,post,"2,400",405,"8,566",45
"Mar 1, 2020 @ 17:34:41.000","Benny Gantz",497860774224653,post,676,760,"3,984",12
"Mar 1, 2020 @ 17:33:05.000","Ayelet Shaked",2696298953821847,post,84,77,590,4
"Mar 1, 2020 @ 17:00:54.000","Itzik Shmuli",2706765769377992,post,194,377,938,144
"Mar 1, 2020 @ 16:56:37.000","Moshe Bogie Ya'alon",3122622197770937,post,131,56,565,3
"Mar 1, 2020 @ 16:51:04.000","Naftali Bennett",2915048295183486,post,352,151,"1,651",1
"Mar 1, 2020 @ 16:45:22.000","Itamar Ben-Gvir",1199087986960206,post,320,131,"1,331",20
"Mar 1, 2020 @ 16:39:34.000","Yair Lapid",217829019405736,"live post",192,143,0,0
"Mar 1, 2020 @ 16:32:04.000","Yair Lapid",2955479044510427,post,71,123,"1,553",0
"Mar 1, 2020 @ 16:15:32.000","Gabi Ashkenazi",513951769527726,post,331,172,"1,450",13
"Mar 1, 2020 @ 16:05:00.000","Nitzan Horowitz",10158262733941340,post,235,80,"1,260",20
"Mar 1, 2020 @ 16:03:42.000","Ayelet Shaked",840931669738846,"live post",145,37,0,0
"Mar 1, 2020 @ 16:03:14.000","Benjamin Netanyahu",10157124073337076,post,"7,800","6,800","57,154",65
"Mar 1, 2020 @ 16:01:21.000","Avigdor Liberman",3115455641800696,post,401,440,786,24
"Mar 1, 2020 @ 16:00:15.000","Benny Gantz",497793794231351,post,355,111,"2,018",2
"Mar 1, 2020 @ 15:57:44.000","Gabi Ashkenazi",493498071592971,"live post",236,209,0,0
"Mar 1, 2020 @ 15:25:23.000","Rafi Peretz",624291938355597,post,17,4,128,0
"Mar 1, 2020 @ 15:15:30.000","Benjamin Netanyahu",572128056988420,"live post","2,400","1,000",0,0
"Mar 1, 2020 @ 15:09:51.000","Itamar Ben-Gvir",1199024353633236,post,84,66,345,0
"Mar 1, 2020 @ 14:51:57.000","Benny Gantz",497743347569729,post,559,907,"2,198",47
"Mar 1, 2020 @ 14:24:45.000","Aryeh Deri",230790407960357,post,5,0,92,0
"Mar 1, 2020 @ 14:16:10.000","Moshe Bogie Ya'alon",3122333367799820,post,141,123,855,6
"Mar 1, 2020 @ 13:45:47.000","Benny Gantz",497687754241955,post,"2,000","1,300","8,585",18
"Mar 1, 2020 @ 13:39:55.000","Moshe Bogie Ya'alon",3122265041139986,post,107,223,515,14
"Mar 1, 2020 @ 13:39:52.000","Yair Lapid",2955131741211824,post,234,219,"1,328",4
"Mar 1, 2020 @ 13:23:57.000","Aryeh Deri",2680753955311392,post,132,24,903,0
"Mar 1, 2020 @ 13:17:17.000","Benjamin Netanyahu",10157123675797076,post,"2,600","3,800","20,363",86
"Mar 1, 2020 @ 13:06:57.000","Naftali Bennett",2914640768557572,post,469,143,"6,465",2
"Mar 1, 2020 @ 13:04:16.000","Tamar Zandberg",1852186974911461,post,34,15,210,3
"Mar 1, 2020 @ 13:01:41.000","Itamar Ben-Gvir",1198937896975215,post,41,77,250,0
"Mar 1, 2020 @ 12:30:00.000","Nitzan Horowitz",10158258896776340,post,63,28,334,1
"Mar 1, 2020 @ 12:30:00.000","Orly Levy-Abkasis",3401693166512643,post,123,39,366,4
"Mar 1, 2020 @ 12:01:28.000","Bezazel Smotrich",1560985790722459,post,35,7,288,0
"Mar 1, 2020 @ 11:57:46.000","Aryeh Deri",2680613875325400,post,112,77,"1,050",1
"Mar 1, 2020 @ 11:36:34.000","Yair Lapid",2954918324566499,post,104,120,588,11
"Mar 1, 2020 @ 11:20:15.000","Orly Levy-Abkasis",3401675803181046,post,487,149,"1,714",23
"Mar 1, 2020 @ 11:17:39.000","Miri Regev",2806926479404149,post,"1,600",248,"2,354",9
"Mar 1, 2020 @ 11:05:13.000","Yair Lapid",2954869247904740,post,343,400,"2,056",8
"Mar 1, 2020 @ 10:59:55.000","Itamar Ben-Gvir",1198856893649982,post,112,100,295,0
"Mar 1, 2020 @ 10:54:15.000","Benny Gantz",497547957589268,post,"3,000","6,300","9,763",238
"Mar 1, 2020 @ 10:49:27.000","Naftali Bennett",2914413828580266,post,505,397,"2,707",7
"Mar 1, 2020 @ 10:46:29.000","Benny Gantz",2607427966171534,"live post","1,700",961,0,0
"Mar 1, 2020 @ 10:30:00.000","Ayelet Shaked",2695535853898157,post,80,81,738,3
"Mar 1, 2020 @ 10:14:38.000","Rafi Peretz",624065555044902,post,18,2,77,2
"Mar 1, 2020 @ 10:13:56.000","Moshe Bogie Ya'alon",3121934391173051,post,"1,300",572,"6,337",60
"Mar 1, 2020 @ 10:02:55.000","Benny Gantz",497517447592319,post,649,425,"3,397",2
"Mar 1, 2020 @ 09:51:28.000","Itzik Shmuli",2706049966116239,post,74,151,304,48
"Mar 1, 2020 @ 09:30:00.000","Avigdor Liberman",3114700645209529,post,348,266,437,14
"Mar 1, 2020 @ 09:17:15.000","Yair Lapid",2954715227920142,post,"1,600",851,"5,328",69
"Mar 1, 2020 @ 09:00:00.000","Nitzan Horowitz",10158258856586340,post,14,60,250,1
"Mar 1, 2020 @ 08:59:34.000","Benny Gantz",497474944263236,post,"1,200","1,300","6,319",9
"Mar 1, 2020 @ 08:58:22.000","Ehud Barak",3069558673076388,post,73,268,676,4
"Mar 1, 2020 @ 08:00:04.000","Benjamin Netanyahu",10157121895817076,post,831,451,"2,817",37
"Mar 1, 2020 @ 07:53:16.000","Naftali Bennett",2914164391938543,post,282,83,"1,879",17
"Mar 1, 2020 @ 07:42:18.000","Yair Lapid",2954589011266097,post,227,957,"1,674",13
"Mar 1, 2020 @ 07:32:27.000","Benny Gantz",497423774268353,post,540,300,"4,163",2
"Mar 1, 2020 @ 07:24:38.000","Benjamin Netanyahu",10157123102637076,post,"3,100","4,300","19,086",82
"Mar 1, 2020 @ 07:11:31.000","Itamar Ben-Gvir",1198741313661540,post,58,102,487,0
"Mar 1, 2020 @ 06:57:36.000","Ayelet Shaked",2695298817255194,post,165,64,984,1
"Mar 1, 2020 @ 06:32:49.000","Itamar Ben-Gvir",1198723463663325,post,160,614,868,2
"Mar 1, 2020 @ 06:19:21.000","Benny Gantz",497385664272164,post,"1,400","1,200","7,663",23
"Mar 1, 2020 @ 06:04:45.000","Naftali Bennett",2914021115286204,post,233,161,"1,936",1
"Mar 1, 2020 @ 06:00:04.000","Avigdor Liberman",3114140828598844,post,500,387,"1,120",21
"Mar 1, 2020 @ 05:51:21.000","Gabi Ashkenazi",513617936227776,post,110,189,"1,413",1
"Mar 1, 2020 @ 05:44:57.000","Amir Peretz",2880370608692918,post,"3,200",701,"9,013",74
"Mar 1, 2020 @ 05:36:45.000","Yair Lapid",2954419287949736,post,228,247,"1,870",2
"Mar 1, 2020 @ 05:00:24.000","Benjamin Netanyahu",10157122018927076,post,"1,300","1,900","6,021",128
"Feb 29, 2020 @ 22:05:17.000","Benjamin Netanyahu",10157121809447076,post,922,871,"3,507",39
"Feb 29, 2020 @ 21:43:03.000","Benny Gantz",497148710962526,post,952,203,"4,257",2
"Feb 29, 2020 @ 21:18:34.000","Naftali Bennett",2913258798695769,post,222,78,"1,396",2
"Feb 29, 2020 @ 21:17:13.000","Yair Lapid",2953695958022069,post,"1,400","4,100","8,979",35
"Feb 29, 2020 @ 21:16:03.000","Benjamin Netanyahu",10157121665647076,post,"1,900",287,"9,132",13
"Feb 29, 2020 @ 20:50:22.000","Benjamin Netanyahu",10157121601517076,post,"4,400","3,400","10,203","2,507"
"Feb 29, 2020 @ 20:34:22.000","Benny Gantz",497102420967155,post,737,529,"4,366",3
"Feb 29, 2020 @ 20:33:58.000","Moshe Bogie Ya'alon",3120779311288559,post,190,102,593,3
"Feb 29, 2020 @ 20:27:12.000","Ehud Barak",3068541023178153,post,164,398,994,0
"Feb 29, 2020 @ 20:07:38.000","Benny Gantz",497083207635743,post,492,294,"3,531",1
"Feb 29, 2020 @ 20:04:54.000","Gabi Ashkenazi",513318696257700,post,826,"1,600","4,522",13
"Feb 29, 2020 @ 19:48:53.000","Miri Regev",1083284445360164,"live post",685,200,0,0
"Feb 29, 2020 @ 19:47:09.000","Benjamin Netanyahu",265506284435954,"live post","2,300",775,0,0
"Feb 29, 2020 @ 19:41:44.000","Benny Gantz",647814622636676,"live post",713,327,0,0
"Feb 29, 2020 @ 19:37:23.000","Miri Regev",500357550873482,"live post",441,162,0,0
"Feb 29, 2020 @ 19:35:22.000","Itamar Ben-Gvir",518507895315039,"live post",404,188,0,0
"Feb 29, 2020 @ 19:29:46.000","Yair Lapid",2953528051372193,post,367,199,"2,302",1
"Feb 29, 2020 @ 19:29:42.000","Benny Gantz",497052387638825,post,"1,000","1,300","6,661",110
"Feb 29, 2020 @ 19:08:14.000","Bezazel Smotrich",1560394440781594,post,62,66,519,0
"Feb 29, 2020 @ 19:05:13.000","Bezazel Smotrich",1560392514115120,post,64,20,472,0
"Feb 29, 2020 @ 18:52:49.000","Aryeh Deri",2679198412133613,post,255,172,728,153
"Feb 29, 2020 @ 18:43:19.000","Benjamin Netanyahu",2528871047219562,"live post","2,500","1,000",0,0
"Feb 29, 2020 @ 18:41:11.000","Nitzan Horowitz",10158262375776340,post,9,9,221,0
"Feb 29, 2020 @ 18:38:45.000","Ehud Barak",3068373813194874,post,364,"1,200","2,421",61
"Feb 29, 2020 @ 18:16:07.000","Miri Regev",236088274079954,"live post","1,000",401,0,0
"Feb 29, 2020 @ 18:14:07.000","Ayelet Shaked",2694214547363621,post,263,220,"2,479",8
"Feb 29, 2020 @ 18:12:17.000","Benny Gantz",984406058622621,"live post","1,300",885,0,0
"Feb 29, 2020 @ 18:11:20.000","Benjamin Netanyahu",10157121078647076,"pinned post","15,000","20,000","72,016",175
"Feb 29, 2020 @ 18:08:37.000","Moshe Feiglin",2830639987015098,post,193,30,0,0
"Feb 29, 2020 @ 18:02:00.000","Itamar Ben-Gvir",1198318050370533,post,249,157,"1,060",0
"Feb 29, 2020 @ 17:31:26.000","Benny Gantz",496945080982889,post,"1,100","4,000","6,373",45
"Feb 29, 2020 @ 17:21:10.000","Aryeh Deri",2679046032148851,"pinned post",120,268,"1,026",2
"Feb 29, 2020 @ 17:12:07.000","Benny Gantz",496929717651092,post,644,676,"3,203",97
"Feb 29, 2020 @ 17:11:37.000","Moshe Bogie Ya'alon",3120417744658049,post,84,58,952,8
"Feb 29, 2020 @ 16:56:39.000","Miri Regev",2805397672890363,post,"2,300","1,400","3,819",671
"Feb 29, 2020 @ 16:40:47.000","Itamar Ben-Gvir",1198263100376028,post,165,57,734,5
"Feb 29, 2020 @ 16:38:00.000","Benjamin Netanyahu",10157120921972076,post,"3,300","3,400","21,454",86
"Feb 29, 2020 @ 16:31:56.000","Ayelet Shaked",2694048854046857,post,165,134,"1,581",0
"Feb 29, 2020 @ 16:28:18.000","Naftali Bennett",2910391238982525,post,490,298,"3,763",5
"Feb 29, 2020 @ 16:25:49.000","Gabi Ashkenazi",513193042936932,post,344,406,"4,453",8
"Feb 29, 2020 @ 16:15:55.000","Gabi Ashkenazi",597603980823913,"live post",998,320,0,0
"Feb 29, 2020 @ 16:05:59.000","Benny Gantz",496884434322287,post,"2,400","2,500","13,177",25
"Feb 29, 2020 @ 16:00:34.000","Benny Gantz",189350865718843,"live post","2,600",706,0,0
"Feb 29, 2020 @ 15:03:24.000","Ehud Barak",3067965493235706,post,339,616,"2,109",28
"Feb 29, 2020 @ 13:38:29.000","Avigdor Liberman",3112845042061756,post,"2,300","1,400","5,592",130
"Feb 29, 2020 @ 11:19:48.000","Tamar Zandberg",1851162488347243,post,799,154,"2,282",30
"Feb 29, 2020 @ 11:10:26.000","Yair Lapid",2952630011461997,post,418,"1,100","2,929",10
"Feb 29, 2020 @ 10:04:41.000","Nitzan Horowitz",10158261268431340,post,98,107,547,2
"Feb 29, 2020 @ 08:51:38.000","Avigdor Liberman",3112341538778773,post,65,3,92,1
"Feb 29, 2020 @ 08:44:53.000","Avigdor Liberman",2804837149609855,"live post","1,300",246,0,0
"Feb 29, 2020 @ 05:42:55.000","Yair Lapid",2952181298173535,post,571,508,"2,005",4
"Feb 28, 2020 @ 18:48:01.000","Yair Lapid",2951213244937007,post,"2,000",843,"4,855",76
"Feb 28, 2020 @ 18:25:52.000","Nitzan Horowitz",10158259248446340,post,4,10,179,0
"Feb 28, 2020 @ 15:22:04.000","Ayelet Shaked",2691715730946836,post,183,180,802,16
"Feb 28, 2020 @ 15:03:23.000","Benny Gantz",496170814393649,post,"1,900","2,300","12,858",11
"Feb 28, 2020 @ 15:01:19.000","Moshe Bogie Ya'alon",3117934078239749,post,342,117,809,7
"Feb 28, 2020 @ 14:47:49.000","Benny Gantz",496158624394868,post,980,501,"4,564",39
"Feb 28, 2020 @ 14:25:42.000","Avigdor Liberman",3110520948960832,post,324,64,311,2
"Feb 28, 2020 @ 14:20:02.000","Nitzan Horowitz",10158258631926340,post,18,33,248,1
"Feb 28, 2020 @ 14:19:46.000","Benjamin Netanyahu",10157117543742076,post,"2,700",624,"20,603",9
"Feb 28, 2020 @ 14:13:28.000","Naftali Bennett",2910324118989237,post,"5,600","5,100","18,006",180
"Feb 28, 2020 @ 14:02:08.000","Benjamin Netanyahu",189556272310829,"live post","5,100","2,100",0,0
"Feb 28, 2020 @ 13:41:22.000","Miri Regev",2802935676469896,post,860,318,"3,741",12
"Feb 28, 2020 @ 13:36:19.000","Benjamin Netanyahu",10157117449972076,post,824,963,"4,182",116
"Feb 28, 2020 @ 13:28:07.000","Yair Lapid",2950619308329734,post,790,"1,100","5,676",6
"Feb 28, 2020 @ 12:49:42.000","Ayelet Shaked",2691404037644672,post,112,127,921,0
"Feb 28, 2020 @ 12:30:52.000","Itamar Ben-Gvir",1197304907138514,post,540,288,"1,095",26
"Feb 28, 2020 @ 12:28:50.000","Benjamin Netanyahu",10157117303712076,post,"2,000",731,"4,304",11
"Feb 28, 2020 @ 12:16:56.000","Benny Gantz",496046817739382,post,972,804,"3,794",57
"Feb 28, 2020 @ 12:04:20.000","Gabi Ashkenazi",512335163022720,post,502,665,"6,768",4
"Feb 28, 2020 @ 11:47:18.000","Itamar Ben-Gvir",1197277300474608,post,48,66,326,3
"Feb 28, 2020 @ 11:42:01.000","Naftali Bennett",2910026639018985,post,397,216,"4,365",3
"Feb 28, 2020 @ 11:10:31.000","Tamar Zandberg",1850208575109301,post,68,19,479,2
"Feb 28, 2020 @ 11:05:52.000","Benny Gantz",495997147744349,post,848,358,"3,129",233
"Feb 28, 2020 @ 10:44:50.000","Benjamin Netanyahu",10157117115192076,post,"1,500",686,"8,889",5
"Feb 28, 2020 @ 10:25:59.000","Itamar Ben-Gvir",1197235107145494,post,28,59,197,1
"Feb 28, 2020 @ 10:25:01.000","Avigdor Liberman",3110037865675807,post,664,529,"1,864",55
"Feb 28, 2020 @ 10:25:00.000","Benjamin Netanyahu",504977310437995,"live post","6,400","4,300",0,0
"Feb 28, 2020 @ 10:15:57.000","Miri Regev",1151237875217173,"live post",919,582,0,0
"Feb 28, 2020 @ 10:13:04.000","Stav Shaffir",2626405084246061,"pinned post","1,000","2,600","4,277",35
"Feb 28, 2020 @ 09:49:24.000","Benny Gantz",495947771082620,post,"11,000","6,700","26,167",475
"Feb 28, 2020 @ 09:44:06.000","Bezazel Smotrich",1559102894244082,post,32,20,191,0
"Feb 28, 2020 @ 09:38:45.000","Miri Regev",2339813336279202,"live post",631,280,0,0
"Feb 28, 2020 @ 09:02:23.000","Merav Michaeli",3012523405438012,post,184,106,791,5
"Feb 28, 2020 @ 09:01:02.000","Orly Levy-Abkasis",3396691273679499,post,261,120,835,6
"Feb 28, 2020 @ 08:59:12.000","Benjamin Netanyahu",10157116962702076,post,424,938,"4,764",6
"Feb 28, 2020 @ 08:47:10.000","Naftali Bennett",2909778462377136,post,45,30,405,1
"Feb 28, 2020 @ 08:31:21.000","Itamar Ben-Gvir",1197174030484935,post,98,125,450,0
"Feb 28, 2020 @ 08:31:13.000","Amir Peretz",2879534802109832,post,278,149,708,2
"Feb 28, 2020 @ 08:02:55.000","Moshe Bogie Ya'alon",3117219408311216,post,"4,700","2,500","18,892",192
"Feb 28, 2020 @ 08:00:55.000","Yair Lapid",2949963785061953,post,77,90,972,2
"Feb 28, 2020 @ 07:55:35.000","Benjamin Netanyahu",10157116885512076,post,682,"1,000","4,239",369
"Feb 28, 2020 @ 07:47:55.000","Moshe Bogie Ya'alon",3117200924979731,post,154,81,"1,103",1
"Feb 28, 2020 @ 07:40:14.000","Ehud Barak",3064883420210580,post,"1,100","2,900","3,432",42
"Feb 28, 2020 @ 07:36:09.000","Rafi Peretz",622644201853704,post,45,13,169,1
"Feb 28, 2020 @ 07:31:18.000","Naftali Bennett",2909675795720736,post,320,168,"2,240",6
"Feb 28, 2020 @ 07:12:53.000","Ayelet Shaked",2690880294363713,post,118,226,910,3
"Feb 28, 2020 @ 06:12:12.000","Itamar Ben-Gvir",1197082627160742,post,95,280,448,0
"Feb 28, 2020 @ 06:04:39.000","Itzik Shmuli",2701490849905484,post,391,683,"1,486",232
"Feb 28, 2020 @ 05:24:31.000","Moshe Feiglin",1356674377849622,"live post",0,0,0,0
"Feb 27, 2020 @ 22:12:08.000","Benjamin Netanyahu",10157115193772076,post,"1,800","1,400","7,878",16
"Feb 27, 2020 @ 20:34:57.000","Itamar Ben-Gvir",241495706873443,"live post",82,53,0,0
"Feb 27, 2020 @ 20:00:57.000","Benjamin Netanyahu",863599490730339,"live post","9,700","2,400",0,0
"Feb 27, 2020 @ 19:58:56.000","Itamar Ben-Gvir",1196766517192353,post,33,81,392,1
"Feb 27, 2020 @ 19:55:10.000","Benny Gantz",482087719127917,"live post","2,100",578,0,0
"Feb 27, 2020 @ 19:31:53.000","Orly Levy-Abkasis",3395510853797541,post,143,134,688,2
"Feb 27, 2020 @ 18:59:48.000","Ehud Barak",3063787876986801,post,752,861,"3,624",0
"Feb 27, 2020 @ 18:57:01.000","Miri Regev",2801364776626986,post,"1,100",899,"3,240",10
"Feb 27, 2020 @ 18:49:33.000","Benjamin Netanyahu",10157115063462076,post,"5,700","8,600","21,684",128
"Feb 27, 2020 @ 18:43:32.000","Ayelet Shaked",2550694351845405,"live post",131,44,0,0
"Feb 27, 2020 @ 18:07:23.000","Itzik Shmuli",2700551033332799,post,46,70,872,1
"Feb 27, 2020 @ 17:47:14.000","Itamar Ben-Gvir",1196688450533493,post,55,41,353,0
"Feb 27, 2020 @ 17:39:50.000","Nitzan Horowitz",10158255917241340,post,202,216,"3,091",5
"Feb 27, 2020 @ 17:37:34.000","Ayelet Shaked",132809614755990,"live post",344,29,0,0
"Feb 27, 2020 @ 17:37:14.000","Naftali Bennett",2908496549171994,post,61,11,315,0
"Feb 27, 2020 @ 17:33:08.000","Ayelet Shaked",302097520764410,"live post",74,6,0,0
"Feb 27, 2020 @ 17:30:10.000","Moshe Bogie Ya'alon",3115971775102646,post,194,67,650,5
